roi_label,condition,modality,parcel_category,parcel_name,hemisphere,mean_beta_mean,mean_beta_std,mean_beta_sem,mean_beta_count
lh_precentral_b_ifgop,quilted_speech,auditory,md,precentral_b_ifgop,lh,0.18202589695636187,0.10111267841757349,0.04127907810819672,6
lh_precentral_b_ifgop,scenes,visual,md,precentral_b_ifgop,lh,0.32205721403265203,0.1710853599752022,0.0698453057332709,6
lh_precentral_b_ifgop,words_scr_objects,visual,md,precentral_b_ifgop,lh,0.3190705494644086,0.18245823882852377,0.07448826408279206,6
lh_rsc,bodies,visual,julian,rsc,lh,0.0791545173169257,0.28595503189123866,0.11674065291913761,6
lh_rsc,faces,visual,julian,rsc,lh,0.01112928901817821,0.20275365101359594,0.08277383141160723,6
lh_rsc,false_belief,auditory,julian,rsc,lh,0.42655338268409543,0.43130748549445797,0.17608054361737988,6
lh_rsc,false_photo,auditory,julian,rsc,lh,0.27429742321714434,0.4169543889981745,0.17022091650990928,6
lh_rsc,math,auditory,julian,rsc,lh,0.37132083408641353,0.41166639213919315,0.16806210083225187,6
lh_rsc,nonwords,auditory,julian,rsc,lh,0.3893289123884496,0.5018956783732517,0.2048980526870808,6
lh_rsc,objects,visual,julian,rsc,lh,0.3780188367869753,0.5950274316132692,0.24291893173522033,6
lh_rsc,quilted_speech,auditory,julian,rsc,lh,0.3571936204438922,0.48636516564070903,0.19855774741399304,6
lh_rsc,scenes,visual,julian,rsc,lh,1.1840364759800739,1.1360431871093726,0.4637876890305198,6
lh_rsc,words_scr_objects,visual,julian,rsc,lh,0.12637542264201088,0.3491936439847161,0.14255770819760713,6
lh_sts,bodies,visual,julian,sts,lh,0.45839208501236356,0.21731826279312358,0.08871980927186923,6
lh_sts,faces,visual,julian,sts,lh,0.3609413569969044,0.3070580482421794,0.1253559232680401,6
lh_sts,false_belief,auditory,julian,sts,lh,0.627328958837588,0.26867450941615045,0.10968590916036049,6
lh_sts,false_photo,auditory,julian,sts,lh,0.5156836150869747,0.3550861915517262,0.14496333066831601,6
lh_sts,math,auditory,julian,sts,lh,0.22235694756955496,0.28251233263311354,0.11533517683242682,6
lh_sts,nonwords,auditory,julian,sts,lh,0.17093607005355863,0.15518876042992313,0.06335554614472212,6
lh_sts,objects,visual,julian,sts,lh,0.38334531269621136,0.2599624623931942,0.10612923085679782,6
lh_sts,quilted_speech,auditory,julian,sts,lh,0.07210663649158501,0.1117042858956946,0.045603083754403924,6
lh_sts,scenes,visual,julian,sts,lh,0.23608445619841015,0.27711857419279884,0.11313318416999331,6
lh_sts,words_scr_objects,visual,julian,sts,lh,0.13766584594048323,0.2954037994332182,0.1205980961151412,6
lh_supfrontal,bodies,visual,md,supfrontal,lh,0.20710578758182496,0.1238262647619036,0.050551860903572825,6
lh_supfrontal,faces,visual,md,supfrontal,lh,0.22171857658234148,0.208641261281052,0.08517743823821367,6
lh_supfrontal,false_belief,auditory,md,supfrontal,lh,0.1504360832797727,0.10190684104594779,0.041603293643580806,6
lh_supfrontal,false_photo,auditory,md,supfrontal,lh,0.14870214344221946,0.09588923661701984,0.039146616922783206,6
lh_supfrontal,math,auditory,md,supfrontal,lh,0.5763989132874111,0.31330512337909605,0.12790628101308565,6
lh_supfrontal,nonwords,auditory,md,supfrontal,lh,0.11092446126309947,0.13114449677663395,0.05353951661280441,6
lh_supfrontal,objects,visual,md,supfrontal,lh,0.19368393311664542,0.12636397741890318,0.05158787775748141,6
lh_supfrontal,quilted_speech,auditory,md,supfrontal,lh,0.11032015586581911,0.17850764009684297,0.07287543890427467,6
lh_supfrontal,scenes,visual,md,supfrontal,lh,0.24379785181860023,0.10424471056695926,0.042557724878861315,6
lh_supfrontal,words_scr_objects,visual,md,supfrontal,lh,0.15185244342027862,0.06249212031654642,0.02551230128669212,6
lh_tpj,bodies,visual,tom,tpj,lh,0.22429262260712898,0.26571638631826067,0.1084782604626653,6
lh_tpj,faces,visual,tom,tpj,lh,0.11512628224753495,0.22340043910795904,0.0912028473547006,6
lh_tpj,false_belief,auditory,tom,tpj,lh,0.6789767739944291,0.39087208048524874,0.15957285864815626,6
lh_tpj,false_photo,auditory,tom,tpj,lh,0.2634940594419582,0.3751842811079342,0.15316834137122756,6
lh_tpj,math,auditory,tom,tpj,lh,-0.24659715322836892,0.2381021453727336,0.09720479380419669,6
lh_tpj,nonwords,auditory,tom,tpj,lh,-0.10222150447948575,0.2959003226559282,0.12080080087198815,6
lh_tpj,objects,visual,tom,tpj,lh,0.07201120636212116,0.2133614698136348,0.08710445530227352,6
lh_tpj,quilted_speech,auditory,tom,tpj,lh,-0.07552465499892226,0.12944838666383465,0.05284708255881562,6
lh_tpj,scenes,visual,tom,tpj,lh,0.08169044009453984,0.3172246111576541,0.12950640519817597,6
